Coordinate,Address
"37.76625164249986, -122.39907316065077",10 ARKANSAS ST. San Francisco San Francisco California
"30.041156914484077, -90.27399400508172",100 West Temple Pl Kenner Jefferson Louisiana
"37.734186787008035, -122.38414803181568","100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO San Francisco San Francisco California"
"35.9780121462929, -114.84713320489533",1005 INDUSTRIAL ROAD Boulder City Clark Nevada
"36.76760174169475, -119.82265127603165",1005 W. WELDON AVENUE Fresno Fresno California
"38.72812016829071, -90.37935971828853",10267 ST CHARLES ROCK ROAD St. Ann Saint Louis Missouri
"32.67816586377384, -115.48763407643216","1029 ETHEL ST, CALEXICO HIGH SCHOOL Calexico Imperial California"
"32.81829968626069, -116.96901150314437",10537 FLOYD SMITH DRIVE El Cajon San Diego California
"40.38372824711354, -75.96907208938998",1059 Arnold Road Not in a city Berks Pennsylvania
"30.462173088652545, -91.17924956088787",1061-A Leesville Ave Baton Rouge East Baton Rouge Louisiana
"38.05338813430687, -122.22214567413134",1098 POMONA STREET Crockett Contra Costa California
"42.1420779422881, -80.03828927397576",10TH AND MARNE STREETS Erie Erie Pennsylvania
"41.5300354419609, -90.58737858934543",10TH ST. & VINE ST. DAVENPORT Davenport Scott Iowa
"37.81490005958309, -122.28296679926734",1100 21st Street Oakland Alameda California
"32.56895735923824, -116.94814619460142","1100 PASEO INTERNATIONAL, OTAY MESA, CA San Diego San Diego California"
"32.70132086814836, -117.1484371761662","1110 BEARDSLEY STREET, SAN DIEGO, CA 92112 San Diego San Diego California"
"33.785950180881784, -118.24673287116362","1115 N. MAHAR AVENUE WILMINGTON, CA West Los Angeles Los Angeles California"
"35.24104429934847, -80.77900981841128",1130 EASTWAY DRIVE Charlotte Mecklenburg North Carolina
"32.79043565926986, -116.94314657430881","1155 REDWOOD AVE., EL CAJON El Cajon San Diego California"
"27.95503039218456, -82.23039218793905","1167 N Dover Road, Valrico, FL 33527 Valrico Hillsborough Florida"
"42.98458925082635, -85.67118067208733",1179 MONROE  (GRAND RAPIDS) Grand Rapids Kent Michigan
"39.11774947412166, -94.6330743322801","1210 N. 10TH ST.,JFK RECREATION CENTER Kansas City Wyandotte Kansas"
"32.20642699070917, -110.87933158781796","1237 S. BEVERLY , TUCSON Tucson Pima Arizona"
"40.79406138690108, -111.93154639122865",1250 NORTH 1400 WEST Salt Lake City Salt Lake Utah
"39.52201766803818, -119.79528668756824",1260-A Stewart St. Reno Washoe Nevada
"34.63804645442927, -120.45772381843135","128 S 'H' ST, LOMPOC Lompoc Santa Barbara California"
"36.111112499826575, -80.2240466300182",1300 BLK. HATTIE AVENUE Winston-Salem Forsyth North Carolina
"37.87788880505717, -122.30112744715586",1340 Sixth Street Berkeley Alameda California
"38.628951028633125, -90.14134670866855",13TH & TUDOR East Saint Louis Saint Clair Illinois
"32.81926410076487, -96.85717151848974",1415 Hinton Street Dallas Dallas Texas
"34.511027488077644, -117.32535476076283","14306 PARK AVE., VICTORVILLE, CA Victorville San Bernardino California"
"34.09980280870572, -117.49199423379439","14360 ARROW BLVD., FONTANA Fontana San Bernardino California"
"42.863589978781654, -71.37956647394684",150 Pillsbury Rd Londonderry Rockingham New Hampshire
"40.00905913674286, -75.09801457405884",1501 E. LYCOMING AVE. Philadelphia Philadelphia Pennsylvania
"37.34855420708579, -121.8951364895021",158B JACKSON ST San Jose Santa Clara California
"34.0662412745143, -118.2276467742682","1630 N MAIN ST, LOS ANGELES Los Angeles Los Angeles California"
"33.46701848579644, -112.04594469280266",1645 E ROOSEVELT ST-CENTRAL PHOENIX STN Phoenix Maricopa Arizona
"40.73419408760083, -111.87287683144888","1675 SOUTH 600 EAST, SALT LAKE CITY Salt Lake City Salt Lake Utah"
"40.71794866437735, -124.20320677403171","170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA Not in a city Humboldt California"
"41.62997275698565, -87.56679656050515",1703 STATE ST. Calumet City (PU RR name Calumet Park (sta.)) Cook Illinois
"35.46791908076499, -89.17138043189459",1741 HILLVILLE LOOP ROAD Not in a city Haywood Tennessee
"46.825388885153195, -100.76831026028857",1810 N 16TH STREET Bismarck Burleigh North Dakota
"41.85587651142383, -87.7522079451508",1820 S. 51ST AVE. Cicero Cook Illinois
"37.96056948778703, -122.35676132995302","1865 D RUMRILL BLVD, San Pablo San Pablo Contra Costa California"
"41.60325740081944, -93.64327214701524","1907 CARPENTER, DES MOINES IOWA Des Moines Polk Iowa"
"41.30168213115011, -72.901930574009",1JAMES STREET New Haven New Haven Connecticut
"43.1537530095412, -77.60432121626225","2 YARMOUTH ROAD, RG&E Substation Rochester Monroe New York"
"43.54762697624329, -96.70065175300999",2001 E 8th St Sioux Falls Minnehaha South Dakota
"40.86638850539657, -73.8827068451896",200TH STREET AND SOUTHERN BLVD Harding Lab New York Bronx New York
"40.866278137878865, -73.88267286053498",200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab New York Bronx New York
"21.323927567219627, -158.0887019611089",2052 LAUWILIWILI ST Not in a city Honolulu Hawaii
"39.75141848706689, -104.98764770290501",2105 BROADWAY Denver Denver Colorado
"28.59562293884788, -81.36137084744905","213 S. Denning Ave, Winter Park, FL 32789 Winter Park Orange Florida"
"37.3184508853694, -122.07062597601224",22601 Voss Ave Cupertino Santa Clara California
"34.17617484340206, -118.31703721844653","228 W. PALM AVE., BURBANK Burbank Los Angeles California"
"43.060862747277646, -87.91367321626605",2300 N M. L. KING JR DR Milwaukee Milwaukee Wisconsin
"32.327350792796565, -90.18408780315958",232 East Woodrow Wilson Drive Jackson Hinds Mississippi
"33.68640204705342, -84.28855426078962","2390-B Wildcat Road, Decatur GA 30034 Not in a city DeKalb Georgia"
"40.77757530661432, -111.94601853170198",240 N 1950 W Salt Lake City Salt Lake Utah
"37.5567903831381, -77.40008093367643",2401 HARTMAN STREET  MATH & SCIENCE CTR East Highland Park Henrico Virginia
"33.801785033662426, -118.22038501660415","2425 Webster St., Long Beach, CA Long Beach Los Angeles California"
"42.35804556415518, -83.09520058745805",2451 MARQUETTE Detroit Wayne Michigan
"31.771095283409444, -106.49672768968559",250 Rim Rd El Paso El Paso Texas
"39.12914693777015, -84.50380536060095",250 WM. HOWARD TAFT Cincinnati Hamilton Ohio
"38.90069971188423, -77.05349886060945","2500 1ST STREET, N.W. WASHINGTON DC Washington District of Columbia District Of Columbia"
"35.612754006233885, -97.46980443188971",2501 E. Memorial Rd.  (OKLAHOMA CHRISTIAN UNIVERSITY) Oklahoma City Oklahoma Oklahoma
"39.934674730817726, -75.12478708940705",266-298 Spruce Street Camden Camden New Jersey
"38.22845643490911, -85.65312591968274","2730 CANNONS LANE, BOWMAN FIELD Louisville Jefferson Kentucky"
"33.67471522963527, -117.92576723195366","2850 MESA VERDE DR EAST, COSTA MESA Costa Mesa Orange California"
"33.47998849096707, -111.91721764545072",2857 N MILLER RD-S SCOTTSDALE STN Scottsdale Maricopa Arizona
"40.295889178512056, -110.00920997404786",290 S. 1000 W. Roosevelt Duchesne Utah
"37.936440145571645, -122.02588771831745",2956-A TREAT BOULEVARD Concord Contra Costa California
"40.51514730019535, -78.38861138938488",2ND AVE & 7TH ST Altoona Blair Pennsylvania
"39.992206600656125, -75.07859107110087","3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137 Philadelphia Philadelphia Pennsylvania"
"40.46553170830298, -79.96060266055042","301 39th St, Pittsburgh, PA 15201 (Lawrenceville) Pittsburgh Allegheny Pennsylvania"
"39.525415483908766, -119.80755925687721","301 A STATE STREET, RENO, NV 89502 Reno Washoe Nevada"
"38.10264533870589, -122.23820373365682",304 TUOLUMNE ST. Vallejo Solano California
"38.58988871970228, -90.49310393178455",305 WEIDMAN ROAD (QUEENY) Not in a city Saint Louis Missouri
"39.81134190803732, -86.11587012698189","3120 E. 30TH ST., WASHINGTON PARK Indianapolis (Remainder) Marion Indiana"
"39.83840493539346, -104.9501440894107",3174 E. 78TH AVE. Welby Adams Colorado
