City,County,State,Population (at 2000)
Birmingham,Jefferson,Alabama,"242,820"
Fairbanks,Fairbanks North Star ,Alaska,"30,224"
Phoenix,Maricopa,Arizona,"1,321,045"
Scottsdale,Maricopa,Arizona,"202,705"
Tucson,Pima,Arizona,"486,699"
North Little Rock,Pulaski,Arkansas,"60,433"
Berkeley,Alameda,California,"102,743"
Oakland,Alameda,California,"399,484"
Bethel Island,Contra Costa,California,"2,312"
Concord,Contra Costa,California,"121,780"
Crockett,Contra Costa,California,"3,194"
Pittsburg,Contra Costa,California,"56,769"
San Pablo,Contra Costa,California,"30,215"
Fresno,Fresno,California,"427,652"
Eureka,Humboldt,California,"26,128"
rural,Humboldt,California,0
Calexico,Imperial,California,"27,408"
Bakersfield,Kern,California,"247,057"
Burbank,Los Angeles,California,"100,316"
Hawthorne,Los Angeles,California,"84,112"
Long Beach,Los Angeles,California,"461,522"
Los Angeles,Los Angeles,California,"3,694,820"
West Los Angeles,Los Angeles,California,"12,659"
Costa Mesa,Orange,California,"108,724"
Rubidoux,Riverside,California,"29,180"
Arden-Arcade,Sacramento,California,"96,025"
rural,Sacramento,California,0
Fontana,San Bernardino,California,"128,929"
Victorville,San Bernardino,California,"64,029"
Chula Vista,San Diego,California,"173,556"
El Cajon,San Diego,California,"94,869"
San Diego,San Diego,California,"1,223,400"
San Francisco,San Francisco,California,"776,733"
Capitan,Santa Barbara,California,0
Goleta,Santa Barbara,California,"28,646"
Lompoc,Santa Barbara,California,"41,103"
Vandenberg Air Force Base,Santa Barbara,California,"18,000"
Cupertino,Santa Clara,California,"50,546"
San Jose,Santa Clara,California,"894,943"
Davenport,Santa Cruz,California,850
Benicia,Solano,California,"26,945"
Vallejo,Solano,California,"116,760"
rural,Ventura,California,0
Welby,Adams,Colorado,"12,973"
Denver,Denver,Colorado,"554,636"
rural,Jackson,Colorado,0
Westport,Fairfield,Connecticut,"25,779"
East Hartford,Hartford,Connecticut,"49,575"
Cornwall,Litchfield,Connecticut,"1,434"
New Haven,New Haven,Connecticut,"123,626"
Wilmington,New Castle,Delaware,"72,664"
Washington,District of Columbia,District Of Columbia,"572,059"
Valrico,Hillsborough,Florida,"6,582"
Winter Park,Orange,Florida,"27,787"
rural,DeKalb,Georgia,0
rural,Honolulu,Hawaii,0
rural,Ada,Idaho,0
Calumet City ,Cook,Illinois,"39,071"
Chicago,Cook,Illinois,"2,896,016"
Cicero,Cook,Illinois,"85,616"
Northbrook,Cook,Illinois,"33,435"
East Saint Louis,Saint Clair,Illinois,"31,542"
Indianapolis,Marion,Indiana,"781,870"
Des Moines,Polk,Iowa,"198,682"
Davenport,Scott,Iowa,"98,359"
rural,Linn,Kansas,0
rural,Sumner,Kansas,0
Kansas City,Wyandotte,Kansas,"146,866"
Ashland,Boyd,Kentucky,"21,879"
rural,Daviess,Kentucky,0
Lexington-Fayette,Fayette,Kentucky,"260,512"
Henderson,Henderson,Kentucky,"27,373"
Louisville,Jefferson,Kentucky,"256,231"
Paducah,McCracken,Kentucky,"26,307"
Baton Rouge,East Baton Rouge,Louisiana,"227,818"
Kenner,Jefferson,Louisiana,"70,517"
Presque Isle,Aroostook,Maine,"9,512"
Portland,Cumberland,Maine,"64,249"
Essex,Baltimore,Maryland,"39,078"
Grantsville,Garrett,Maryland,619
Beltsville,Prince George's,Maryland,"15,690"
Boston,Suffolk,Massachusetts,"589,141"
Grand Rapids,Kent,Michigan,"197,800"
Detroit,Wayne,Michigan,"951,270"
Blaine,Anoka,Minnesota,"44,942"
Jackson,Hinds,Mississippi,"184,256"
Breckenridge Hills,Saint Louis,Missouri,"4,817"
Ferguson,Saint Louis,Missouri,"22,166"
Ladue,Saint Louis,Missouri,"8,378"
rural,Saint Louis,Missouri,0
St. Ann,Saint Louis,Missouri,"13,494"
Sunset Hills,Saint Louis,Missouri,"8,267"
St. Louis,St. Louis City,Missouri,"348,189"
Boulder City,Clark,Nevada,"15,047"
Sunrise Manor,Clark,Nevada,"156,120"
Reno,Washoe,Nevada,"180,480"
Manchester,Hillsborough,New Hampshire,"107,006"
Londonderry,Rockingham,New Hampshire,"23,236"
Camden,Camden,New Jersey,"79,904"
Newark,Essex,New Jersey,"273,546"
Albuquerque,Bernalillo,New Mexico,"448,607"
New York,Bronx,New York,"1,332,650"
Rochester,Monroe,New York,"219,773"
New York,Queens,New York,"2,229,379"
rural,Steuben,New York,0
Holtsville,Suffolk,New York,"17,006"
Winston-Salem,Forsyth,North Carolina,"185,776"
Charlotte,Mecklenburg,North Carolina,"540,828"
Raleigh,Wake,North Carolina,"276,093"
Bismarck,Burleigh,North Dakota,"55,532"
rural,Cass,North Dakota,0
Athens,Athens,Ohio,"21,332"
Cleveland,Cuyahoga,Ohio,"478,403"
Cincinnati,Hamilton,Ohio,"331,285"
rural,Medina,Ohio,0
Cherry Tree,Adair,Oklahoma,"1,202"
Park Hill,Cherokee,Oklahoma,"3,936"
Ponca City,Kay,Oklahoma,"25,919"
Oklahoma City,Oklahoma,Oklahoma,"506,132"
Miami,Ottawa,Oklahoma,"13,810"
Tulsa,Tulsa,Oklahoma,"393,049"
Portland,Multnomah,Oregon,"529,121"
rural,Adams,Pennsylvania,0
Pittsburgh,Allegheny,Pennsylvania,"334,563"
Beaver Falls,Beaver,Pennsylvania,"9,882"
Reading,Berks,Pennsylvania,"81,207"
rural,Berks,Pennsylvania,0
Altoona,Blair,Pennsylvania,"49,523"
Bristol,Bucks,Pennsylvania,"10,056"
Johnstown,Cambria,Pennsylvania,"23,906"
rural,Dauphin,Pennsylvania,0
Erie,Erie,Pennsylvania,"103,717"
Scranton,Lackawanna,Pennsylvania,"76,415"
Lancaster,Lancaster,Pennsylvania,"56,348"
New Castle,Lawrence,Pennsylvania,"26,309"
Wilkes-Barre,Luzerne,Pennsylvania,"43,123"
Norristown,Montgomery,Pennsylvania,"31,282"
Freemansburg,Northampton,Pennsylvania,"2,056"
Philadelphia,Philadelphia,Pennsylvania,"1,517,550"
Charleroi,Washington,Pennsylvania,"4,857"
Greensburg,Westmoreland,Pennsylvania,"15,636"
York,York,Pennsylvania,"40,862"
East Providence,Providence,Rhode Island,"48,688"
rural,Charleston,South Carolina,0
Dentsville (Dents),Richland,South Carolina,"13,009"
Sioux Falls,Minnehaha,South Dakota,"123,975"
rural,Union,South Dakota,0
rural,Blount,Tennessee,0
rural,Haywood,Tennessee,0
rural,Meigs,Tennessee,0
Memphis,Shelby,Tennessee,"650,100"
rural,Bexar,Texas,0
San Antonio,Bexar,Texas,"1,144,646"
Dallas,Dallas,Texas,"1,188,580"
El Paso,El Paso,Texas,"563,662"
Deer Park,Harris,Texas,"28,520"
Houston,Harris,Texas,"1,953,631"
Waco,McLennan,Texas,"113,726"
Austin,Travis,Texas,"656,562"
Roosevelt,Duchesne,Utah,"4,414"
Midvale,Salt Lake,Utah,"26,937"
Salt Lake City,Salt Lake,Utah,"181,743"
rural,Uintah,Utah,0
Rutland,Rutland,Vermont,"17,363"
Alexandria,Alexandria City,Virginia,"128,283"
rural,Alexandria City,Virginia,0
Annandale,Fairfax,Virginia,"54,994"
McLean,Fairfax,Virginia,"38,929"
rural,Fairfax,Virginia,0
Seven Corners,Fairfax,Virginia,"8,701"
Hampton,Hampton City,Virginia,"146,437"
East Highland Park,Henrico,Virginia,"12,488"
Vinton,Roanoke,Virginia,"7,720"
Seattle,King,Washington,"563,374"
Milwaukee,Milwaukee,Wisconsin,"596,974"
Riverton,Fremont,Wyoming,"9,276"
rural,Laramie,Wyoming,0
rural,Sweetwater,Wyoming,0
rural,Uinta,Wyoming,0
