Address,City,County,State,Coordinate
"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Birmingham,Jefferson,Alabama,"33.553163660637175, -86.81494751846658"
809 Pioneer Road,Fairbanks,Fairbanks North Star ,Alaska,"64.84521732649479, -147.7260026882155"
1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Phoenix,Maricopa,Arizona,"33.46701848579644, -112.04594469280266"
4530 N 17TH AVENUE,Phoenix,Maricopa,Arizona,"33.50383068311651, -112.09590087614089"
2857 N MILLER RD-S SCOTTSDALE STN,Scottsdale,Maricopa,Arizona,"33.47998849096707, -111.91721764545072"
"1237 S. BEVERLY , TUCSON",Tucson,Pima,Arizona,"32.20642699070917, -110.87933158781796"
400 W RIVER ROAD,Tucson,Pima,Arizona,"32.29527039536475, -110.9827751608332"
PIKE AVE AT RIVER ROAD,North Little Rock,Pulaski,Arkansas,"34.756228539179055, -92.2818650328375"
1340 Sixth Street,Berkeley,Alameda,California,"37.87788880505717, -122.30112744715586"
1100 21st Street,Oakland,Alameda,California,"37.81490005958309, -122.28296679926734"
6701 INTERNATIONAL BLVD,Oakland,Alameda,California,"37.761161128249945, -122.19193247414192"
5551 BETHEL ISLAND RD,Bethel Island,Contra Costa,California,"38.0063702313152, -121.64324943180587"
2956-A TREAT BOULEVARD,Concord,Contra Costa,California,"37.936440145571645, -122.02588771831745"
1098 POMONA STREET,Crockett,Contra Costa,California,"38.05338813430687, -122.22214567413134"
"583 W. 10TH ST., PITTSBURG",Pittsburg,Contra Costa,California,"38.02931388682748, -121.8969601318051"
"1865 D RUMRILL BLVD, San Pablo",San Pablo,Contra Costa,California,"37.96056948778703, -122.35676132995302"
"UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo",San Pablo,Contra Costa,California,"37.965758947372535, -122.34271081207666"
1005 W. WELDON AVENUE,Fresno,Fresno,California,"36.76760174169475, -119.82265127603165"
"3425 N FIRST ST, FRESNO",Fresno,Fresno,California,"36.781958631224214, -119.77293878952212"
"3727 N FIRST ST, FRESNO",Fresno,Fresno,California,"36.7854233160235, -119.77309508766751"
MOBILE,Fresno,Fresno,California,"36.760232843375654, -119.7866650356739"
717 SOUTH AVENUE,Eureka,Humboldt,California,"40.77653046251993, -124.17841363170213"
"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",rural,Humboldt,California,"40.71794866437735, -124.20320677403171"
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",Calexico,Imperial,California,"32.67816586377384, -115.48763407643216"
"5558 California Ave., Bakersfield CA 93309",Bakersfield,Kern,California,"35.35644742443488, -119.06281974724385"
"228 W. PALM AVE., BURBANK",Burbank,Los Angeles,California,"34.17617484340206, -118.31703721844653"
"5234 W. 120TH ST., HAWTHORNE",Hawthorne,Los Angeles,California,"33.923751022479905, -118.3712025319457"
"2425 Webster St., Long Beach, CA",Long Beach,Los Angeles,California,"33.801785033662426, -118.22038501660415"
"3648 N. LONG BEACH BLVD., LONG BEACH",Long Beach,Los Angeles,California,"33.842242573070806, -118.19209464543918"
"1630 N MAIN ST, LOS ANGELES",Los Angeles,Los Angeles,California,"34.0662412745143, -118.2276467742682"
651 S. MOTT STREET (SB 25 TRAILER),Los Angeles,Los Angeles,California,"34.03485083836929, -118.21115042030556"
7201 W. WESTCHESTER PARKWAY,Los Angeles,Los Angeles,California,"33.95326236530314, -118.4201807319447"
"1115 N. MAHAR AVENUE WILMINGTON, CA",West Los Angeles,Los Angeles,California,"33.785950180881784, -118.24673287116362"
"2850 MESA VERDE DR EAST, COSTA MESA",Costa Mesa,Orange,California,"33.67471522963527, -117.92576723195366"
"5888 MISSION BLVD., RUBIDOUX",Rubidoux,Riverside,California,"34.000843892838056, -117.4152408049612"
"DEL PASO-2701 AVALON DR, SACRAMENTO",Arden-Arcade,Sacramento,California,"38.611424455617964, -121.3687118158968"
"7823 BLACKFOOT WAY, NORTH HIGHLANDS",rural,Sacramento,California,"38.71032615224855, -121.37379262883636"
"14360 ARROW BLVD., FONTANA",Fontana,San Bernardino,California,"34.09980280870572, -117.49199423379439"
"14306 PARK AVE., VICTORVILLE, CA",Victorville,San Bernardino,California,"34.511027488077644, -117.32535476076283"
"84 E. 'J' ST., CHULA VISTA",Chula Vista,San Diego,California,"32.631532568732524, -117.05802077431386"
10537 FLOYD SMITH DRIVE,El Cajon,San Diego,California,"32.81829968626069, -116.96901150314437"
"1155 REDWOOD AVE., EL CAJON",El Cajon,San Diego,California,"32.79043565926986, -116.94314657430881"
533 First Street,El Cajon,San Diego,California,"32.79000646014079, -116.94398418965439"
"1100 PASEO INTERNATIONAL, OTAY MESA, CA",San Diego,San Diego,California,"32.56895735923824, -116.94814619460142"
"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",San Diego,San Diego,California,"32.70132086814836, -117.1484371761662"
"330A 12TH AVE., SAN DIEGO, CA. 92112",San Diego,San Diego,California,"32.70965716033255, -117.15382366082042"
10 ARKANSAS ST.,San Francisco,San Francisco,California,"37.76625164249986, -122.39907316065077"
"100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO",San Francisco,San Francisco,California,"37.734186787008035, -122.38414803181568"
LFC #1-LAS FLORES CANYON,Capitan,Santa Barbara,California,"34.46029624289804, -120.02446602752799"
"380 N FAIRVIEW AVENUE, GOLETA",Goleta,Santa Barbara,California,"34.44527997975695, -119.82969056076494"
"128 S 'H' ST, LOMPOC",Lompoc,Santa Barbara,California,"34.63804645442927, -120.45772381843135"
"STS POWER PLANT, VANDENBERG AFB",Vandenberg Air Force Base,Santa Barbara,California,"34.75358566116402, -120.52412231449951"
22601 Voss Ave,Cupertino,Santa Clara,California,"37.3184508853694, -122.07062597601224"
